_source.data.protocol,_source.data.id,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.description,_source.rule.groups,_source.rule.pci_dss,_source.rule.tsc,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.mitre.id,_source.rule.frequency,_source.rule.hipaa,_source.agent.description,_source.rule.id,output_2,output_1
POST,401,294,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , , ,APACHE_SERVER,31101,NORMAL,NORMAL
GET,200,139,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,brute_force,ATTACK
GET,200,3642,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,4679,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
 , ,482,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31100,NORMAL,NORMAL
GET,304,4216,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
POST,401,108,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , ,nan,APACHE_SERVER,31101,brute_force,ATTACK
GET,500,275,0,5,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]", , , , , , , ,APACHE_SERVER,31122,NORMAL,NORMAL
GET,500,2469,0,5,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]", , , , , , , ,APACHE_SERVER,31122,NORMAL,NORMAL
GET,304,4284,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,4678,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,500,2477,0,5,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]", , , , , , , ,APACHE_SERVER,31122,NORMAL,NORMAL
GET,304,995,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,815,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
POST,401,88,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , ,nan,APACHE_SERVER,31101,brute_force,ATTACK
GET,304,4487,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
POST,401,7,0,10,Multiple web server 400 error codes from same source ip.,"[""web"",""accesslog"",""web_scan"",""recon""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", ,14, ,APACHE_SERVER,31151,brute_force,ATTACK
GET,304,657,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,304,1459,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,XSS,ATTACK
POST,401,19,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , ,nan,APACHE_SERVER,31101,NORMAL,NORMAL
GET,200,22,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31100,NORMAL,NORMAL
GET,500,33,0,10,Multiple SQL injection attempts from same source ip.,"[""web"",""accesslog"",""attack"",""sql_injection""]","[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]","[""T1055""]",8, ,APACHE_SERVER,31152,NORMAL,NORMAL
POST,401,26,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , , ,APACHE_SERVER,31101,Broken_Authentication,ATTACK
GET,200,91,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31100,NORMAL,NORMAL
GET,500,693,0,6,Common web attack.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]","[""T1055"",""T1083"",""T1190""]", , ,APACHE_SERVER,31104,NORMAL,NORMAL
GET,304,1130,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,304,300,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,239,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31100,XSS,ATTACK
GET,200,4712,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,710,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
POST,401,37,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , , ,APACHE_SERVER,31101,brute_force,ATTACK
GET,304,1575,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,304,167,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,304,815,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,573,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,1231,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,500,509,0,6,Common web attack.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]","[""T1055"",""T1083"",""T1190""]", , ,APACHE_SERVER,31104,NORMAL,NORMAL
GET,200,96,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,569,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31100,NORMAL,NORMAL
POST,401,120,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , , ,APACHE_SERVER,31101,brute_force,ATTACK
GET,304,1162,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,858,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,403,240,0,6,Common web attack.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]","[""T1055"",""T1083"",""T1190""]", , ,APACHE_SERVER,31104,NORMAL,NORMAL
GET,200,5158,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,500,811,0,6,XSS (Cross Site Scripting) attempt.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4"",""6.5.7""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]","[""T1064""]", , ,APACHE_SERVER,31105,NORMAL,NORMAL
GET,200,261,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31100,NORMAL,NORMAL
GET,500,167,0,7,SQL injection attempt.,"[""web"",""accesslog"",""attack"",""sql_injection""]","[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]","[""T1190""]", , ,APACHE_SERVER,31103,NORMAL,NORMAL
GET,500,709,0,6,XSS (Cross Site Scripting) attempt.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4"",""6.5.7""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]","[""T1064""]", , ,APACHE_SERVER,31105,NORMAL,NORMAL
GET,200,329,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,5834,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,672,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31100,NORMAL,NORMAL
GET,200,5812,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,304,4762,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,4915,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,304,1041,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,500,182,0,5,Web server 500 error code (Internal Error).,"[""web"",""accesslog"",""system_error""]", , , , , , , ,APACHE_SERVER,31122,NORMAL,NORMAL
GET,200,6016,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,304,221,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,304,1060,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,500,465,0,6,Common web attack.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4"",""6.5.1""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]","[""T1055"",""T1083"",""T1190""]", , ,APACHE_SERVER,31104,NORMAL,NORMAL
GET,200,281,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31100,NORMAL,NORMAL
GET,304,284,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,304,80,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,5321,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,130,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31100,NORMAL,NORMAL
GET,206,512,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,423,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,brute_force,ATTACK
POST,401,598,0,5,Web server 400 error code.,"[""web"",""accesslog"",""attack""]","[""6.5"",""11.4""]","[""CC6.6"",""CC7.1"",""CC8.1"",""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]","[""SA.11"",""SI.4""]","[""IV_35.7.d""]", , , ,APACHE_SERVER,31101,NORMAL,NORMAL
GET,304,4810,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,645,0,1,Access log messages grouped.,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31100,NORMAL,NORMAL
GET,304,940,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , ,nan,APACHE_SERVER,31108,NORMAL,NORMAL
GET,200,62,0,1,Ignored URLs (simple queries).,"[""web"",""accesslog""]", , , , , , , ,APACHE_SERVER,31108,Broken_Authentication,ATTACK
