iter	Passed	Remaining
0	94	94400
1	187	93489
2	279	92752
3	370	92189
4	463	92277
5	555	92060
6	652	92627
7	751	93162
8	846	93241
9	945	93584
10	1040	93556
11	1135	93461
12	1230	93403
13	1328	93558
14	1419	93233
15	1514	93168
16	1605	92863
17	1700	92750
18	1796	92733
19	1888	92538
20	1980	92330
21	2074	92229
22	2170	92208
23	2264	92078
24	2354	91844
25	2450	91791
26	2543	91651
27	2640	91650
28	2736	91611
29	2831	91553
30	2927	91499
31	3021	91387
32	3113	91243
33	3203	91028
34	3295	90864
35	3388	90734
36	3480	90579
37	3569	90373
38	3669	90424
39	3761	90282
40	3852	90119
41	3945	89999
42	4037	89859
43	4050	88014
44	4143	87926
45	4233	87808
46	4329	87783
47	4418	87631
48	4513	87607
49	4605	87495
50	4699	87453
51	4787	87274
52	4880	87206
53	4971	87100
54	5068	87077
55	5160	86984
56	5252	86900
57	5345	86812
58	5438	86736
59	5531	86659
60	5623	86566
61	5638	85307
62	5651	84051
63	5714	83571
64	5808	83557
65	5901	83514
66	5995	83489
67	6082	83370
68	6173	83298
69	6264	83223
70	6352	83123
71	6442	83042
72	6542	83078
73	6636	83051
74	6728	82990
75	6826	82994
76	6920	82951
77	7011	82883
78	7105	82840
79	7199	82791
80	7295	82777
81	7387	82703
82	7478	82623
83	7575	82606
84	7668	82551
85	7762	82497
86	7855	82435
87	7948	82374
88	8039	82295
89	8130	82204
90	8226	82177
91	8323	82153
92	8342	81363
93	8439	81344
94	8533	81294
95	8624	81209
96	8648	80515
97	8746	80505
98	8784	79945
99	8876	79892
100	8970	79847
101	9067	79825
102	9154	79723
103	9245	79653
104	9341	79621
105	9430	79539
106	9518	79440
107	9610	79372
108	9701	79302
109	9796	79261
110	9888	79193
111	9977	79110
112	10068	79033
113	10161	78972
114	10248	78869
115	10338	78787
116	10427	78694
117	10514	78589
118	10603	78502
119	10694	78426
120	10751	78102
121	10838	78001
122	10933	77954
123	11020	77855
124	11115	77807
125	11201	77699
126	11291	77614
127	11379	77522
128	11472	77462
129	11560	77367
130	11651	77293
131	11740	77200
132	11833	77141
133	11921	77042
134	12013	76973
135	12105	76906
136	12198	76841
137	12288	76759
138	12374	76651
139	12464	76564
140	12554	76486
141	12648	76425
142	12742	76363
143	12835	76301
144	12924	76212
145	13011	76110
146	13099	76013
147	13186	75913
148	13276	75825
149	13369	75760
150	13462	75695
151	13553	75614
152	13566	75102
153	13661	75051
154	13749	74958
155	13843	74896
156	13933	74814
157	14024	74737
158	14116	74665
159	14201	74559
160	14289	74464
161	14379	74382
162	14474	74324
163	14568	74265
164	14661	74195
165	14753	74120
166	14840	74023
167	14930	73941
168	15023	73874
169	15111	73779
170	15202	73699
171	15288	73598
172	15380	73523
173	15471	73443
174	15563	73372
175	15656	73301
176	15749	73233
177	15842	73158
178	15936	73095
179	16026	73011
180	16122	72952
181	16214	72874
182	16315	72840
183	16409	72774
184	16500	72693
185	16594	72622
186	16691	72566
187	16786	72505
188	16879	72428
189	16970	72348
190	17063	72272
191	17157	72204
192	17247	72115
193	17333	72015
194	17422	71925
195	17511	71831
196	17600	71743
197	17697	71683
198	17789	71603
199	17877	71508
200	17965	71417
201	18057	71335
202	18155	71280
203	18249	71210
204	18347	71151
205	18443	71087
206	18530	70987
207	18619	70898
208	18709	70809
209	18802	70734
210	18890	70639
211	18985	70567
212	19073	70474
213	19164	70390
214	19256	70309
215	19345	70217
216	19439	70144
217	19525	70041
218	19618	69964
219	19705	69866
220	19804	69807
221	19899	69736
222	19989	69650
223	20079	69559
224	20167	69465
225	20257	69376
226	20351	69303
227	20362	68945
228	20452	68858
229	20546	68785
230	20637	68702
231	20726	68611
232	20821	68541
233	20916	68470
234	21007	68387
235	21101	68312
236	21191	68224
237	21281	68137
238	21369	68043
239	21464	67970
240	21557	67891
241	21645	67798
242	21732	67702
243	21828	67634
244	21918	67544
245	22009	67459
246	22099	67373
247	22197	67308
248	22286	67217
249	22380	67140
250	22471	67057
251	22567	66985
252	22665	66921
253	22758	66843
254	22784	66565
255	22881	66498
256	22971	66411
257	23070	66350
258	23160	66261
259	23251	66176
260	23343	66096
261	23439	66024
262	23536	65956
263	23631	65881
264	23730	65817
265	23821	65733
266	23914	65652
267	24010	65579
268	24099	65490
269	24197	65423
270	24290	65341
271	24385	65268
272	24476	65180
273	24574	65113
274	24667	65033
275	24767	64969
276	24865	64902
277	24959	64823
278	25054	64747
279	25145	64660
280	25237	64575
281	25331	64495
282	25420	64405
283	25513	64323
284	25604	64236
285	25697	64153
286	25791	64075
287	25880	63983
288	25976	63907
289	26065	63815
290	26157	63730
291	26251	63650
292	26343	63565
293	26435	63480
294	26532	63408
295	26624	63323
296	26722	63253
297	26816	63172
298	26914	63100
299	27012	63028
300	27106	62948
301	27203	62873
302	27296	62790
303	27394	62718
304	27488	62638
305	27583	62559
306	27679	62482
307	27777	62409
308	27874	62333
309	27964	62242
310	28061	62167
311	28151	62076
312	28242	61988
313	28335	61904
314	28430	61825
315	28528	61752
316	28619	61662
317	28712	61577
318	28806	61495
319	28896	61405
320	28989	61319
321	29081	61233
322	29168	61136
323	29260	61048
324	29357	60974
325	29456	60900
326	29552	60821
327	29568	60579
328	29657	60485
329	29752	60407
330	29845	60322
331	29934	60229
332	30028	60147
333	30120	60061
334	30212	59974
335	30306	59891
336	30400	59808
337	30495	59727
338	30587	59641
339	30681	59558
340	30780	59484
341	30872	59397
342	30963	59309
343	31054	59219
344	31143	59127
345	31240	59049
346	31333	58963
347	31424	58875
348	31516	58788
349	31610	58705
350	31706	58626
351	31797	58535
352	31890	58451
353	31988	58373
354	32079	58286
355	32179	58211
356	32193	57985
357	32294	57913
358	32385	57825
359	32478	57739
360	32574	57658
361	32672	57582
362	32766	57498
363	32863	57421
364	32962	57345
365	33059	57266
366	33158	57190
367	33246	57096
368	33339	57011
369	33440	56938
370	33537	56859
371	33631	56776
372	33729	56698
373	33827	56619
374	33919	56532
375	34012	56446
376	34107	56363
377	34202	56280
378	34293	56191
379	34384	56101
380	34474	56009
381	34568	55925
382	34667	55847
383	34764	55768
384	34857	55681
385	34952	55598
386	35054	55525
387	35147	55438
388	35209	55302
389	35306	55222
390	35401	55139
391	35494	55052
392	35584	54960
393	35674	54870
394	35777	54798
395	35866	54705
396	35959	54618
397	36055	54535
398	36147	54448
399	36181	54272
400	36278	54191
401	36371	54104
402	36469	54026
403	36563	53940
404	36657	53854
405	36750	53768
406	36846	53685
407	36942	53602
408	37040	53522
409	37138	53443
410	37233	53358
411	37331	53279
412	37421	53186
413	37513	53098
414	37530	52904
415	37626	52822
416	37721	52737
417	37812	52648
418	37908	52564
419	38001	52477
420	38094	52391
421	38189	52307
422	38282	52219
423	38376	52133
424	38472	52051
425	38509	51888
426	38604	51804
427	38697	51716
428	38791	51632
429	38887	51549
430	38986	51469
431	39075	51377
432	39163	51283
433	39252	51191
434	39346	51104
435	39437	51015
436	39527	50924
437	39627	50846
438	39720	50758
439	39810	50668
440	39899	50576
441	39996	50493
442	40089	50405
443	40179	50314
444	40272	50227
445	40307	50067
446	40397	49976
447	40490	49890
448	40585	49805
449	40680	49720
450	40770	49629
451	40866	49545
452	40961	49461
453	41055	49375
454	41147	49287
455	41241	49200
456	41331	49109
457	41420	49016
458	41509	48925
459	41603	48839
460	41698	48753
461	41796	48672
462	41807	48489
463	41903	48405
464	41995	48317
465	42091	48233
466	42181	48142
467	42269	48049
468	42357	47957
469	42450	47869
470	42546	47785
471	42636	47695
472	42732	47610
473	42824	47522
474	42914	47431
475	43010	47347
476	43099	47255
477	43192	47168
478	43287	47083
479	43382	46997
480	43477	46912
481	43573	46828
482	43664	46738
483	43757	46650
484	43850	46563
485	43943	46475
486	44033	46383
487	44126	46296
488	44217	46207
489	44308	46117
490	44401	46029
